"","cause_name","sex","ageGroup","yld_nm_mean","yld_nm_upper","yld_nm_lower","yld_rt_mean","yld_rt_upper","yld_rt_lower","yll_nm_mean","yll_nm_upper","yll_nm_lower","yll_rt_mean","yll_rt_upper","yll_rt_lower"
"698","Diet low in calcium","Male","65+",5875.08,11146.175,2338.603,62.3362,118.81195,24.6964,27598,48009.9,13880.005,300.469,513.5945,154.0195
"699","Diet low in fiber","Female","25-44",1354.77125,2484.025,496.89075,13.3556675,24.48825,4.8973075,7238.1325,12250.39,3229.43,71.098525,120.392625,31.70685
"700","Diet low in fiber","Female","45-64",4909.84,8859.1025,1844.4175,49.010875,88.353375,18.41785,35901.525,58277.125,16867,359.85775,584.7535,168.698
"701","Diet low in fiber","Female","65+",10605.885,18500.71,4452.66,86.986,152.6165,35.888,108987.85,180037.25,49738.35,854.8765,1405.4,392.5005
"702","Diet low in fiber","Male","25-44",1929.8275,3578.8325,681.90325,18.6209,34.53795,6.581955,18460.3675,30894.35,7651.9975,178.1981,298.112,73.85515
"703","Diet low in fiber","Male","45-64",6761.19,12459.245,2558.6975,71.279925,131.340825,27.04425,90965.875,144826.25,40503.225,951.41875,1514.96925,424.29425
"704","Diet low in fiber","Male","65+",11792.105,20774.8,4859.665,131.4655,232.9365,53.75485,136943.5,219025.5,61083.65,1536.285,2450.335,683.321
"705","Diet low in fruits","Female","25-44",5000.3775,6856.155,3440.5525,49.286175,67.579775,33.911975,24700.6975,33607.375,16773.52,242.5191,330.154,164.58275
"706","Diet low in fruits","Female","45-64",20489.725,27488.225,14439.75,205.19575,275.2285,144.5514,132320.55,175045.25,92119.1,1326.1305,1755.8875,921.411
"707","Diet low in fruits","Female","65+",53062.45,70030.6,36424.55,428.5575,567.1705,295.462,374139.5,502257,251827,3003.705,4027.495,2036.505
"708","Diet low in fruits","Male","25-44",6426.4725,8859.74,4460.885,62.004325,85.479875,43.04435,46985.45,63006.625,31783.5525,453.4965,608.0635,306.9098
"709","Diet low in fruits","Male","45-64",25423.95,34364.925,17945.175,269.74075,364.3645,190.585,276719.75,356098.75,195952.5,2914.865,3756.2575,2065.96
"710","Diet low in fruits","Male","65+",54041.35,71872.5,37399.85,593.351,789.9125,411.657,453157.5,597076.5,294234.5,5135.215,6738.605,3401.57
"711","Diet low in milk","Female","25-44",43.0936225,123.5558,4.52145,0.4227031,1.215476,0.043965625,1182.2015,2346.76,302.022775,11.6141925,23.058355,2.9609725
"712","Diet low in milk","Female","45-64",342.06775,733.7335,73.3559,3.452025,7.38453,0.74367375,6755.625,12660.495,1767.3525,67.63405,126.9859,17.670825
"713","Diet low in milk","Female","65+",1412.4375,2753.416,361.778,10.895555,21.2998,2.77681,14438.15,27823.65,3769.085,122.5905,234.6165,32.0943
"714","Diet low in milk","Male","25-44",46.94655,134.601025,4.2245075,0.453423,1.29890625,0.040704975,1416.68975,2772.8875,376.75725,13.6768175,26.76785,3.639455
"715","Diet low in milk","Male","45-64",427.4085,891.45375,101.0922,4.589255,9.513305,1.0883955,9038.2975,16693.525,2467.525,96.196875,177.946225,26.2077
"716","Diet low in milk","Male","65+",1344.329,2504.55,349.0805,14.4505,27.1228,3.736985,16257.1,29691.55,4394.86,186.0395,339.2385,50.78875
"717","Diet low in nuts and seeds","Female","25-44",3049.805,4869.4475,1638.65675,30.05965,47.987625,16.152665,14195.0575,22136.9375,7679.5125,139.362175,217.44775,75.323925
"718","Diet low in nuts and seeds","Female","45-64",12870.5325,20434.775,6807.675,129.390575,205.49675,68.471775,83393.125,121941.1,50063.175,842.94775,1235.4965,505.9425
"719","Diet low in nuts and seeds","Female","65+",31572.9,50279.2,16610.385,257.889,410.2485,135.813,328235,486339.5,193161.6,2513.715,3754.98,1487.465
"720","Diet low in nuts and seeds","Male","25-44",4154.9325,6653.695,2222.4125,40.09855,64.211975,21.45155,37841.075,54313.325,22764.545,365.29975,524.1875,219.806975
"721","Diet low in nuts and seeds","Male","45-64",16652.175,26702.625,8892.45,176.8415,283.52675,94.48075,214886,284923.5,137120.075,2262.62,2998.6075,1442.44625
"722","Diet low in nuts and seeds","Male","65+",32884.55,51689.15,17365.06,364.577,574.861,193.1455,381227.5,511114.5,236585.5,4220.965,5655.75,2616.055
"723","Diet low in polyunsaturated fatty acids","Female","25-44",767.75525,1400.2895,322.706,7.569485,13.809065,3.1815825,3545.3275,6189.51,1432.5895,34.81825,60.79665,14.06748
"724","Diet low in polyunsaturated fatty acids","Female","45-64",2950.8375,5357.675,1223.80225,29.576325,53.6852,12.2687175,19058.6,31256.725,8403.8775,192.0735,314.5855,84.698225
"725","Diet low in polyunsaturated fatty acids","Female","65+",6424.58,11536.795,2712.495,53.28535,95.7551,22.5388,66143.9,108186.1,31448.8,513.943,847.918,241.4055
"726","Diet low in polyunsaturated fatty acids","Male","25-44",1068.17975,1943.6025,458.57475,10.3068675,18.754375,4.4267175,9647.8975,15675.2,4195.1225,93.13335,151.28515,40.4912
"727","Diet low in polyunsaturated fatty acids","Male","45-64",3898.7425,6948.8175,1680.31,41.257675,73.57085,17.743025,50431.7,78564.35,23695.35,529.076,822.75475,247.9505
"728","Diet low in polyunsaturated fatty acids","Male","65+",6865.28,12040.99,2978.695,76.9971,135.345,33.3337,79481.65,124092.6,37897.4,890.401,1391.82,423.855
"729","Diet low in seafood omega-3 fatty acids","Female","25-44",NA,NA,NA,NA,NA,NA,8958.0225,13824.7975,5169.5475,87.9554,135.782275,50.6927
"730","Diet low in seafood omega-3 fatty acids","Female","45-64",NA,NA,NA,NA,NA,NA,49321.725,71073.625,32869,497.00825,717.59275,331.2095
"731","Diet low in seafood omega-3 fatty acids","Female","65+",NA,NA,NA,NA,NA,NA,169828.75,245321.3,118672.4,1320.94,1922.445,915.1595
"732","Diet low in seafood omega-3 fatty acids","Male","25-44",NA,NA,NA,NA,NA,NA,23755.3325,33919.675,14910.0825,229.324425,327.397,143.934
"733","Diet low in seafood omega-3 fatty acids","Male","45-64",NA,NA,NA,NA,NA,NA,126791.875,167961.5,89482.5,1330.065,1760.715,938.60625
"734","Diet low in seafood omega-3 fatty acids","Male","65+",NA,NA,NA,NA,NA,NA,199183.5,266755,139311,2233.03,2988.42,1557.2
"735","Diet low in vegetables","Female","25-44",3283.6575,4578.885,2128.785,32.373975,45.149525,20.98555,14264.315,20630.19,8482.505,140.187175,202.866725,83.3043
"736","Diet low in vegetables","Female","45-64",12706.1675,17533.4,8367.2175,127.35675,175.629,83.7584,61072.375,84067.075,39822.9,610.0955,838.8195,397.7405
"737","Diet low in vegetables","Female","65+",33470.15,47164.95,19460.295,270.2635,378.747,159.631,193847.05,267641.6,127521,1502.765,2080.155,990.389
"738","Diet low in vegetables","Male","25-44",4123.5075,5742.1825,2749.9975,39.77595,55.38635,26.5285,26545.005,37116.175,17070.695,256.1875,358.11375,164.767875
"739","Diet low in vegetables","Male","45-64",15129.2875,20708.725,9996.91,160.50535,219.418,105.973675,127651.6,171990.25,84339.425,1336.756,1800.525,883.31975
"740","Diet low in vegetables","Male","65+",31810.05,44805,19218.2,349.7565,490.737,213.267,207545.5,277700,139003.35,2309.61,3095.805,1542.85
"741","Diet low in whole grains","Female","25-44",6525.8675,9206.935,4343.845,64.34275,90.77475,42.831925,9461.54,13196,6110.51,92.974575,129.78375,60.019
"742","Diet low in whole grains","Female","45-64",17731.4,24295.925,12217.375,175.09975,239.5975,120.682925,39485.675,53727.8,27702.9,393.89125,536.659,276.01775
"743","Diet low in whole grains","Female","65+",28408.2,37366.95,20103.2,243.36,321.268,171.049,114152.9,153509.65,80763.5,894.1815,1211.832,629.3595
"744","Diet low in whole grains","Male","25-44",7842.405,11058.13,5254.0275,75.7145,106.775525,50.727525,19957.1125,27765.55,13088.3925,192.62145,267.94175,126.34495
"745","Diet low in whole grains","Male","45-64",20351,27614.85,14115.625,211.584,286.505,146.95025,90060.15,119417.375,61594.475,939.00275,1244.6885,641.413
"746","Diet low in whole grains","Male","65+",26460.45,34360.05,19171.95,303.1795,394.84,218.635,128374.1,167842.55,89635.05,1444.49,1895.01,1006.465
"747","Dietary risks","Female","25-44",23943.475,31291.875,17772.47,235.94275,308.3465,175.125625,54877.775,69380.325,42022,538.96175,681.6505,412.46375
"748","Dietary risks","Female","45-64",85101.575,106884.15,65747.625,849.40775,1065.24675,656.64975,313046.5,381153,261638.5,3157.5225,3848.5125,2641.735
"749","Dietary risks","Female","65+",205709.6,249441.5,164982.35,1675.5,2037.45,1337.985,1212299.5,1498786.5,1054767,9308.84,11568.65,8060.5
"750","Dietary risks","Male","25-44",30032.625,40298.025,22513.725,290.0315,389.18975,217.39025,108974.925,133029.375,85334.95,1051.891,1283.98175,823.7905
"751","Dietary risks","Male","45-64",103709.925,132518.8,81130.375,1093.519,1394.28075,857.006,663424.5,750140.75,582456,7026.1825,7934.14,6173.915
"752","Dietary risks","Male","65+",203910,249632,164514.35,2251.1,2763.055,1815.33,1362221,1539537.5,1207108,14977.2,16921.5,13260.9
"753","Digestive diseases (except cirrhosis)","Female","00-14",10598.34,21624,5005.02,62.9391,128.1632,29.11505,3429.125,5557.005,2029.705,26.88135,44.0959,15.51913
"754","Digestive diseases (except cirrhosis)","Female","15-24",13246.05,23342.75,7279.695,128.8805,227.149,70.83195,2318.045,4425.1,1094.027,22.52155,42.9942,10.625315
"755","Digestive diseases (except cirrhosis)","Female","25-44",15112.525,25385.25,8831.4975,149.214,250.66625,87.16435,6394.635,10066.8725,3827.4925,62.937825,99.082025,37.664075
"756","Digestive diseases (except cirrhosis)","Female","45-64",15277.225,26496.45,8298.3725,146.537,254.3715,79.45035,26897.025,36867.775,18975.3,271.85575,370.89475,192.72005
"757","Digestive diseases (except cirrhosis)","Female","65+",16660.985,26718.15,9582.91,139.618,226.378,79.44005,119082.25,143708,98076.9,898.1285,1097.823,729.8315
"758","Digestive diseases (except cirrhosis)","Male","00-14",12183.715,25050.2,5543.52,70.48655,144.87,31.5537,3698.23,5764.305,2299.35,27.7399,43.10085,17.28555
"759","Digestive diseases (except cirrhosis)","Male","15-24",13497.85,25563.55,7096.25,124.897,236.521,65.66665,3105.05,4747.18,1969.995,28.6757,43.839,18.19515
"760","Digestive diseases (except cirrhosis)","Male","25-44",14905.95,26258.775,8242.44,143.343,252.3565,79.2944,8968.6375,12784.945,5898.375,86.430125,123.1923,56.8283
"761","Digestive diseases (except cirrhosis)","Male","45-64",15845.3,28310.45,8429.285,159.29625,285.3,84.464625,32238.1,42165.325,23702.375,340.2805,444.5785,250.45225
"762","Digestive diseases (except cirrhosis)","Male","65+",13212.525,23866.95,7141.485,150.723,274.25,81.0461,88179.55,108425.65,68412.3,931.7035,1160.66,714.057
"763","Diphtheria","Female","00-14",0.0391132,0,0,0.00028179,0,0,57.09765,497.562,5.152295e-08,0.4648785,4.05512,4.204935e-10
"764","Diphtheria","Female","15-24",0,0,0,0,0,0,4.72146,40.8819,3.7028e-09,0.0459964,0.398293,3.605525e-11
"765","Diphtheria","Female","25-44",0.021184525,0,0,0.0002086125,0,0,3.4625375,29.718775,3.05019e-09,0.034152975,0.29309125,3.0094675e-11
"766","Diphtheria","Female","45-64",0.0373206666666667,0,0,0.000328276666666667,0,0,8.01325333333333,68.8740333333333,7.06304666666667e-09,0.0737235,0.635098333333333,6.48412e-11
"767","Diphtheria","Male","00-14",0.03070635,0,0,0.000285117,0,0,74.83605,638.778,6.85964e-08,0.5781235,4.97943,5.316215e-10
"768","Diphtheria","Male","15-24",0,0,0,0,0,0,13.21955,110.30605,1.172765e-08,0.12244835,1.0214895,1.0855565e-10
"769","Diphtheria","Male","25-44",0.0200955,0,0,0.0001908295,0,0,6.7514775,56.366975,6.0693075e-09,0.064625175,0.539423,5.8085325e-11
"770","Diphtheria","Male","45-64",0.0359039,0,0,0.000356252666666667,0,0,12.7984666666667,108.731633333333,1.105985e-08,0.122077333333333,1.039155,1.05258233333333e-10
"771","Down's syndrome","Female","00-14",1295.3585,2296.235,627.4755,8.66492,15.3464,4.14633,2261.6415,3622.53,1366.1035,21.073595,33.66787,12.816295
"772","Down's syndrome","Female","15-24",860.4565,1588.395,390.8245,8.37072,15.454,3.801725,504.806,1186.21,179.977,4.906765,11.530525,1.74949
"773","Down's syndrome","Female","25-44",827.3525,1562.1925,351.24,8.1755375,15.4393,3.4701375,626.1015,1425.875,234.9675,6.16971,14.02975,2.31596
"774","Down's syndrome","Female","45-64",1521.775,2958.26,616.23325,15.0287,29.333825,6.0841025,2057.84,5318.84,592.52625,20.062825,51.56395,5.74025
"775","Down's syndrome","Female","65+",1551.07,3068.36,629.426,14.86195,29.46625,5.96994,390.0345,897.4485,112.0157,5.183025,12.24911,1.439889
"776","Down's syndrome","Male","00-14",1365.05,2480.6,624.642,8.720105,15.85455,3.9811,2765.655,4452.2045,1577.9945,24.649055,39.477155,14.1422
"777","Down's syndrome","Male","15-24",924.295,1748.945,395.375,8.54885,16.17575,3.657755,618.793,1258.769,260.0345,5.713855,11.62085,2.400545
"778","Down's syndrome","Male","25-44",853.5055,1598.9375,368.15525,8.1908775,15.3484,3.5306675,679.56425,1466.5525,257.696,6.52786,14.101725,2.469615
"779","Down's syndrome","Male","45-64",1397.2575,2727.745,560.897,14.47265,28.23555,5.8191075,2160.0175,5390.7075,517.29225,22.223275,55.360575,5.2389825
"780","Down's syndrome","Male","65+",1034.914,2025.535,389.521,13.0343,25.54005,4.85237,319.357,722.451,84.9821,4.97388,11.374885,1.303822
"781","Drowning","Female","00-14",41.0782,162.71045,0,0.2398665,1.0250785,0,11292.385,18819.105,6371.695,96.07455,161.1011,53.60755
"782","Drowning","Female","15-24",25.34465,132.125,0,0.246462,1.28537,0,2599.725,4532.79,1400.52,25.2907,44.09365,13.6224
"783","Drowning","Female","25-44",69.190225,221.20825,0,0.68244975,2.1853625,0,1970.85,3457.6825,1042.89225,19.439425,34.08975,10.2859275
"784","Drowning","Female","45-64",180.71875,419.93825,25.005925,1.778505,4.1264,0.255169,1753.115,3167.03,800.01425,16.73185,30.244725,7.612005
"785","Drowning","Female","65+",199.8275,414.491,63.4358,1.792375,3.88617,0.4853585,1248.882,1954.365,694.0415,11.40225,18.7455,5.907555
"786","Drowning","Male","00-14",65.327,258.495,0,0.3625605,1.59147,0,23116.95,38337.75,13811.05,179.0614,300.8625,104.271
"787","Drowning","Male","15-24",74.5733,298.115,0,0.6886875,2.75379,0,23276.05,41409.95,13504.1,215.2775,382.851,124.9075
"788","Drowning","Male","25-44",171.2385,472.39225,14.808975,1.65004,4.54838,0.14381425,11297.8,19322.15,6773.38,107.899325,184.4015,64.673275
"789","Drowning","Male","45-64",322.31025,700.885,82.662675,3.3318325,7.2186675,0.87281725,7336.4,11804.815,4079.4575,72.839875,117.47755,40.25125
"790","Drowning","Male","65+",330.5545,624.564,124.4704,3.91393,7.45803,1.37986,3420.17,5312.1,1945.05,41.3153,66.17545,22.8625
"791","Drug use","Female","00-14",520.47,1161.59,138.586,2.645765,5.90485,0.704485,1116.7345,2330.235,338.8605,8.8588,18.920055,2.711395
"792","Drug use","Female","15-24",68814.4,96639.2,46749.8,667.8145,937.794,453.707,15435.365,30954.25,5707.32,149.77945,300.5085,55.35155
"793","Drug use","Female","25-44",56424.4,80011.4,37601.55,557.1175,789.79125,371.3285,33661.4,67247.025,12812.225,332.08325,663.9445,126.4485
"794","Drug use","Female","45-64",10837.93,16054.375,6710.5,99.461725,147.84625,61.31335,30313.05,61883.7,10496.475,286.175,585.29525,100.141225
"795","Drug use","Female","65+",758.7995,1428.4,254.703,8.966535,16.5503,3.104465,3895.215,9469.265,1354.081,38.17545,95.84725,11.6668
"796","Drug use","Male","00-14",867.405,1774.095,295.683,4.213915,8.6187,1.43645,1819.765,4123.19,516.662,13.574095,31.8699,4.005275
"797","Drug use","Male","15-24",146096.65,202337.25,100064.05,1345.795,1863.755,921.7875,54857,105582,18089.01,505.4635,973.166,166.61895
"798","Drug use","Male","25-44",128421.25,177716.975,86786.1,1221.1605,1688.8035,825.354,97348.125,211918.75,33689.05,934.11225,2032.955,323.0415
"799","Drug use","Male","45-64",21338.62,31291.4875,13751.8375,202.95135,298.263,130.2511,66163.275,135560.65,23590.475,643.707,1318.10675,231.24825
"800","Drug use","Male","65+",1702.215,2890.355,828.666,23.80615,40.3044,11.49348,5081.94,13949.85,1570.1655,64.015,172.903,17.83845
"801","Drug use disorders","Female","00-14",517.33,1159.125,128.911,2.629805,5.8923,0.655305,1109.5565,2333.175,329.821,8.82231,18.98708,2.649335
"802","Drug use disorders","Female","15-24",68559.7,96035.6,46779.9,665.3415,931.9085,453.999,11860.675,27054.3,2357.905,115.13095,262.6995,22.88915
"803","Drug use disorders","Female","25-44",56149.35,80048.2,37359.05,554.389,790.15725,368.948,27962.3,61905.05,7297.7325,276.0625,611.37175,72.1479
"804","Drug use disorders","Female","45-64",10470.525,15838.6625,6425.6125,95.96555,145.6314,58.558375,18816.76,44751.575,3166.855,173.576475,413.208,29.469775
"805","Drug use disorders","Female","65+",737.3795,1445.685,227.4995,8.74923,16.98323,2.752501,3881.22,9613.86,1310.315,38.0019,96.69285,11.3353
"806","Drug use disorders","Male","00-14",838.85,1645.105,297.069,4.075205,7.99205,1.443185,1802.32,3930.96,513.7945,13.489355,30.1785,4.072145
"807","Drug use disorders","Male","15-24",146199.6,201137.75,100965.2,1346.737,1852.5965,930.0525,42600.9,92840.4,7411.525,392.5195,855.6805,68.25985
"808","Drug use disorders","Male","25-44",127398.55,176563.525,86353.95,1211.34925,1678.125,821.21125,84530.575,201946.5,21007.6,811.7495,1937.56,202.31475
"809","Drug use disorders","Male","45-64",20579.2725,30352.535,12960.62,195.413025,289.08525,122.7335,45722.5,107928.05,8406.06,434.804,1026.787,79.805825
"810","Drug use disorders","Male","65+",1688.83,2916.07,794.094,23.6985,40.72645,11.06161,5003.15,13536.9,1478.1635,62.9946,169.116,16.6304
"811","Dysthymia","Female","00-14",7849.34673,11214.3715,4935.775,39.90793485,57.119582,25.0905,0,0,0,0,0,0
"812","Dysthymia","Female","15-24",20098.05,28720.55,12813.9,195.4485,279.304,124.6065,0,0,0,0,0,0
"813","Dysthymia","Female","25-44",24765.125,34950.975,15825.175,244.64325,345.2645,156.3375,0,0,0,0,0,0
"814","Dysthymia","Female","45-64",28906.4,41076.55,18491.225,280.113,397.957,179.45275,0,0,0,0,0,0
"815","Dysthymia","Female","65+",26540.2,38246.05,16744.2,241.342,348.2585,152.132,0,0,0,0,0,0
"816","Dysthymia","Male","00-14",5564.557905,8381.48395,3379.24,27.03628735,40.8094065,16.4166,0,0,0,0,0,0
"817","Dysthymia","Male","15-24",15229.35,22396.2,9536.505,140.7735,207.02,88.1435,0,0,0,0,0,0
"818","Dysthymia","Male","25-44",18563.775,27012.725,11870.225,178.35325,259.50975,114.03875,0,0,0,0,0,0
"819","Dysthymia","Male","45-64",19438.25,28121.625,12265.975,196.74375,284.2285,124.18225,0,0,0,0,0,0
"820","Dysthymia","Male","65+",14109.85,20110.05,8834.8,167.9515,240.136,105.55005,0,0,0,0,0,0
"821","Eating disorders","Female","00-14",5132.92,8255.19,2812.3,26.0927,41.9644,14.296,37.7189,99.5855,3.03429,0.19174,0.506233,0.0154245
"822","Eating disorders","Female","15-24",34534.15,53147.85,20726.25,335.2495,515.939,201.211,189.37715,560.6615,38.10805,1.8374985,5.439655,0.3697935
"823","Eating disorders","Female","25-44",34197.125,53034.8,21067.475,338.25025,524.6025,208.36325,374.12,1044.42625,69.2856,3.6930325,10.3025925,0.68397875
"824","Eating disorders","Female","45-64",9560.9975,15499.755,5382.2725,89.412725,145.0052,50.2382,408.515,1271.1325,37.64885,3.96859,12.372275,0.35817
"825","Eating disorders","Female","65+",2257.675,3830.075,1167.955,23.9044,40.78875,12.433065,1776.003,4596.175,228.61935,12.29088,32.5917,1.487026
"826","Eating disorders","Male","00-14",0,0,0,0,0,0,22.1827,58.0258,1.50608,0.107765,0.281893,0.00731665
"827","Eating disorders","Male","15-24",0,0,0,0,0,0,113.36815,305.7035,10.09553,1.0451625,2.8183,0.09305975
"828","Eating disorders","Male","25-44",0,0,0,0,0,0,157.75925,452.71675,9.537945,1.5099875,4.334985,0.09119555
"829","Eating disorders","Male","45-64",0,0,0,0,0,0,196.9025,646.07675,8.2575625,2.051405,6.7446925,0.086277275
"830","Eating disorders","Male","65+",0,0,0,0,0,0,1005.141,2485.5045,134.5121,9.83058,24.8607,1.2306765
"831","Echinococcosis","Female","00-14",0,0,0,0,0,0,3.876175,15.22412,0.08246655,0.02264465,0.08873885,0.000475217
"832","Echinococcosis","Female","15-24",0,0,0,0,0,0,3.596795,13.92295,0.0784401,0.0349663,0.1353755,0.0007625545
"833","Echinococcosis","Female","25-44",0,0,0,0,0,0,6.7588025,26.59215,0.1431535,0.066713825,0.26246025,0.0014131375
"834","Echinococcosis","Female","45-64",0,0,0,0,0,0,12.59175,48.04955,0.25348575,0.12387375,0.47276975,0.00249929
"835","Echinococcosis","Female","65+",0,0,0,0,0,0,20.0115,77.19195,0.410819,0.1770255,0.685345,0.003626375
"836","Echinococcosis","Male","00-14",0,0,0,0,0,0,4.019935,15.97019,0.08358075,0.0224268,0.0893022,0.000462592
"837","Echinococcosis","Male","15-24",0,0,0,0,0,0,3.867985,14.96965,0.08222685,0.0357392,0.1383085,0.00075962
"838","Echinococcosis","Male","25-44",0,0,0,0,0,0,6.8679025,26.876975,0.1450705,0.0661099,0.25865525,0.001397265
"839","Echinococcosis","Male","45-64",0,0,0,0,0,0,11.992025,46.597825,0.24458525,0.1238205,0.48027025,0.0025323525
"840","Echinococcosis","Male","65+",0,0,0,0,0,0,15.85665,61.78665,0.3363905,0.184251,0.7204325,0.00391099
"841","Eczema","Female","00-14",30590.2,51043.85,15186.39,197.593,330.087,97.313,0,0,0,0,0,0
"842","Eczema","Female","15-24",14185.55,22921.3,6852.4,138.0425,223.0395,66.6795,0,0,0,0,0,0
"843","Eczema","Female","25-44",12438.725,20129.35,6247.0975,122.90125,198.86725,61.72615,0,0,0,0,0,0
"844","Eczema","Female","45-64",12543.45,20093.175,6370.2325,121.599,194.7585,61.692425,0,0,0,0,0,0
"845","Eczema","Female","65+",13245.84,21137.5,6800.775,116.512,185.761,59.8365,0,0,0,0,0,0
"846","Eczema","Male","00-14",27392,46189.15,13432.605,170.4165,291.403,82.80445,0,0,0,0,0,0
"847","Eczema","Male","15-24",11941.25,19165.2,5883.23,110.5025,177.329,54.4527,0,0,0,0,0,0
"848","Eczema","Male","25-44",10264.66,16459.2,5142.45,98.5022,157.954,49.35425,0,0,0,0,0,0
"849","Eczema","Male","45-64",9596.705,15563.45,4920.6875,97.344475,157.77275,49.914525,0,0,0,0,0,0
"850","Eczema","Male","65+",8074.58,12907.09,4216.04,94.2848,150.753,49.2611,0,0,0,0,0,0
"851","Edentulism","Female","15-24",64.3784,154.954,12.8896,0.623112,1.49978,0.124757,0,0,0,0,0,0
"852","Edentulism","Female","25-44",2495.8285,4120.9375,1388.14,24.5656025,40.562375,13.66717,0,0,0,0,0,0
"853","Edentulism","Female","45-64",14773.1825,24121.45,8386.75,150.670275,245.90675,85.537725,0,0,0,0,0,0
"854","Edentulism","Female","65+",57721.9,93737.4,32852.75,466.9915,760.2765,265.6975,0,0,0,0,0,0
"855","Edentulism","Male","15-24",56.3491,136.215,0,0.517322,1.25055,0,0,0,0,0,0,0
"856","Edentulism","Male","25-44",2253.48625,3690.7225,1251.0895,21.810105,35.713735,12.113295,0,0,0,0,0,0
"857","Edentulism","Male","45-64",12547.26,19938.075,7150.7,135.29475,214.91025,77.126225,0,0,0,0,0,0
"858","Edentulism","Male","65+",35316.3,55405.2,20148.9,392.6545,617.0525,223.323,0,0,0,0,0,0
"859","Encephalitis","Female","00-14",33.6362,169.5765,0,0.1971275,1.10352,0,408.686,658.53,237.0035,3.39357,5.43218,1.976524
"860","Encephalitis","Female","15-24",44.471,241.3245,0,0.432347,2.346855,0,340.325,713.718,133.949,3.308875,6.940035,1.302285
"861","Encephalitis","Female","25-44",75.195775,298.626,0,0.74315275,2.9511675,0,333.90075,643.37025,154.26075,3.294075,6.3469375,1.5216525
"862","Encephalitis","Female","45-64",119.702,398.54175,0,1.177924,3.90955,0,469.6765,839.509,227.84125,4.5523975,8.1378225,2.206395
"863","Encephalitis","Female","65+",200.1302,447.9815,36.0595,1.666195,4.001315,0.2185895,696.185,1090.9055,421.8035,5.773535,9.38649,3.309925
"864","Encephalitis","Male","00-14",29.5661,179.198,0,0.16635335,1.1045225,0,477.625,815.975,261.411,3.72659,6.40081,2.0372575
"865","Encephalitis","Male","15-24",53.4855,264.5415,0,0.494246,2.446665,0,449.118,932.9595,206.8,4.150035,8.62491,1.910125
"866","Encephalitis","Male","25-44",83.5142,327.89425,0,0.8033965,3.1524625,0,537.96575,1050.05875,261.41125,5.17033,10.0905825,2.5102
"867","Encephalitis","Male","45-64",129.6375,416.532,0,1.33366,4.2470125,0,738.2835,1384.75075,371.83475,7.283105,13.639355,3.6624375
"868","Encephalitis","Male","65+",165.01045,377.7515,30.5909,1.86043,4.540605,0.2659865,648.7105,1039.5425,387.7585,7.178135,11.7094,4.18835
"869","Endocarditis","Female","00-14",3.976185,57.5177,0,0.02636045,0.404273,0,391.141,646.0635,167.3624,3.4094515,5.605495,1.457717
"870","Endocarditis","Female","15-24",60.896135,200.06035,0,0.5896357,1.9394745,0,304.2775,570.206,150.6265,2.95497,5.536785,1.463085
"871","Endocarditis","Female","25-44",76.170825,246.60775,0,0.75051875,2.432725,0,815.29875,1474.39,412.396,8.0346925,14.534405,4.0646775
"872","Endocarditis","Female","45-64",172.40805,440.37125,12.17385,1.75593175,4.424465,0.14062725,2227.5575,4264.3625,916.512,22.008325,42.08195,9.0877875
"873","Endocarditis","Female","65+",943.5385,1613.856,463.28335,6.943115,12.270005,3.12232,5695.545,8598.305,2863.632,45.61005,73.27135,21.942
"874","Endocarditis","Male","00-14",7.833785,68.9462,0,0.0508132,0.46585,0,604.8205,990.4195,339.9545,5.14412,8.478305,2.866842
"875","Endocarditis","Male","15-24",110.897755,303.72735,0,1.01875095,2.7937605,0,357.3155,621.8115,186.411,3.29461,5.731765,1.71892
"876","Endocarditis","Male","25-44",95.96525,290.1115,0,0.91159125,2.765825,0,1284.05325,2455.8275,572.94125,12.379135,23.67465,5.5231
"877","Endocarditis","Male","45-64",188.4095,451.95,23.23565,2.02532475,4.7984225,0.27147425,3449.3275,6289.375,1674.745,35.62675,64.83625,17.390575
"878","Endocarditis","Male","65+",821.5845,1445.6025,417.78395,8.272925,14.86459,3.976875,5785.095,8448.635,3400.875,63.02135,95.1665,36.18585
"879","Endometriosis","Female","15-24",867.9905,1726.9315,299.4771,8.408725,16.73224,2.900475,4.83688,13.317705,1.269969,0.0469417,0.12928355,0.012321345
"880","Endometriosis","Female","25-44",4955.85225,9105.88,1761.233,49.5941925,91.117425,17.6254875,26.825675,71.054775,7.1963125,0.2651535,0.70263525,0.071149075
"881","Endometriosis","Female","45-64",10.695888,40.0262,0,0.09410093,0.352075,0,47.0047,92.1139,24.5711,0.415933,0.812954,0.2182165
"882","Epilepsy","Female","00-14",10126.775,14348.595,6620.055,63.4306,91.70605,40.54935,1582.05,3141.41,761.813,11.62451,23.0955,5.619035
"883","Epilepsy","Female","15-24",9314.885,13242.9,6009.67,90.61495,128.8345,58.45145,2080.095,4228.315,907.0105,20.21555,41.10155,8.814555
"884","Epilepsy","Female","25-44",8710.52,12592.575,5517.9725,86.06065,124.4145,54.496975,2315.455,4261.89,1035.48475,22.861,42.0799,10.2255075
"885","Epilepsy","Female","45-64",8526.26,12408.575,5444.51,82.62585,120.23375,52.771,2310.6675,4537.1725,1051.412,22.35405,43.8963,10.1803075
